Numéro;Question;Réponse;Choix1;Choix2;Choix3;Choix4
1;Quelle est la capitale de la France ?;Paris;Londres;Paris;Berlin;Madrid
2;Quelle est la capitale de l'Allemagne ?;Berlin;Munich;Berlin;Hambourg;Cologne
3;Quelle est la capitale de l'Italie ?;Rome;Milan;Naples;Rome;Florence
4;Quelle est la capitale de l'Espagne ?;Madrid;Barcelone;Séville;Madrid;Valence
5;Quelle est la capitale du Royaume-Uni ?;Londres;Manchester;Liverpool;Londres;Birmingham
6;Quelle est la capitale du Portugal ?;Lisbonne;Porto;Lisbonne;Braga;Coimbra
7;Quelle est la capitale de la Grèce ?;Athènes;Thessalonique;Patras;Athènes;Héraklion
8;Quelle est la capitale de la Suède ?;Stockholm;Göteborg;Stockholm;Malmö;Uppsala
9;Quelle est la capitale de la Norvège ?;Oslo;Bergen;Trondheim;Oslo;Stavanger
10;Quelle est la capitale du Danemark ?;Copenhague;Aarhus;Odense;Copenhague;Aalborg
