Numéro;Question;Réponse;Choix1;Choix2;Choix3;Choix4
1;Quel est le pluriel de "cheval" ?;chevaux;chevals;chevaux;chevaus;cheveux
2;Comment écrit-on le son [o] dans "bateau" ?;eau;au;eau;o;ot
3;Quel est le féminin de "acteur" ?;actrice;acteure;actrice;acteuse;acteuresse
4;Combien y a-t-il de lettres dans l'alphabet français ?;26;24;26;28;25
5;Quel est le contraire de "grand" ?;petit;gros;petit;mince;court
6;Comment conjugue-t-on "être" à la 1ère personne du singulier ?;je suis;j'ai;je suis;je fais;je vais
7;Quel est le groupe du verbe "finir" ?;2ème groupe;1er groupe;2ème groupe;3ème groupe;4ème groupe
8;Quelle est la nature du mot "rapidement" ?;adverbe;adjectif;adverbe;nom;verbe
9;Combien y a-t-il de voyelles en français ?;6;5;6;7;8
10;Quel signe de ponctuation termine une phrase interrogative ?;?;!;?;.;:
