Numéro;Question;Réponse;Choix1;Choix2;Choix3;Choix4
1;Quelle est la capitale de la France ?;Paris;Lyon;Paris;Marseille;Toulouse
2;Quel est le plus long fleuve du monde ?;Le Nil;L'Amazone;Le Nil;Le Mississippi;Le Yangtsé
3;Sur quel continent se trouve l'Égypte ?;L'Afrique;L'Asie;L'Afrique;L'Europe;L'Amérique
4;Quelle est la plus haute montagne du monde ?;L'Everest;Le Mont Blanc;L'Everest;Le Kilimandjaro;L'Aconcagua
5;Dans quel océan se trouve l'Australie ?;L'océan Pacifique;L'océan Atlantique;L'océan Pacifique;L'océan Indien;L'océan Arctique
6;Quelle est la capitale de l'Italie ?;Rome;Milan;Rome;Naples;Florence
7;Quel désert se trouve en Afrique du Nord ?;Le Sahara;Le Kalahari;Le Sahara;Le Gobi;L'Atacama
8;Quelle est la capitale du Japon ?;Tokyo;Kyoto;Tokyo;Osaka;Hiroshima
9;Quel est le plus petit pays du monde ?;Le Vatican;Monaco;Le Vatican;Saint-Marin;Liechtenstein
10;Sur quel continent se trouve le Brésil ?;L'Amérique du Sud;L'Amérique du Nord;L'Amérique du Sud;L'Afrique;L'Asie
