Numéro;Question;Réponse;Choix1;Choix2;Choix3;Choix4
1;Dans quel pays se trouve la tour Eiffel ?;France;Italie;France;Espagne;Allemagne
2;Quel pays a la forme d'une botte ?;Italie;Espagne;Italie;Grèce;Portugal
3;Dans quel pays se trouve Machu Picchu ?;Pérou;Bolivie;Équateur;Pérou;Colombie
4;Quel est le plus grand pays du monde ?;Russie;Canada;Chine;Russie;États-Unis
5;Dans quel pays se trouve le Taj Mahal ?;Inde;Pakistan;Inde;Bangladesh;Sri Lanka
6;Quel pays a pour capitale Tokyo ?;Japon;Corée du Sud;Chine;Japon;Thaïlande
7;Dans quel pays se trouve le désert du Sahara ?;Algérie;Maroc;Algérie;Tunisie;Libye
8;Quel pays a inventé les pâtes ?;Italie;France;Grèce;Italie;Espagne
9;Dans quel pays se trouve Angkor Wat ?;Cambodge;Thaïlande;Vietnam;Cambodge;Laos
10;Quel pays a pour monnaie l'euro et pour capitale Berlin ?;Allemagne;Autriche;Suisse;Allemagne;Belgique du Sud;Inde
