Numéro;Question;Réponse;Choix1;Choix2;Choix3;Choix4
1;Quel est l'organe qui pompe le sang dans le corps ?;Le cœur;Le foie;Le cœur;Les poumons;L'estomac
2;Combien de planètes y a-t-il dans le système solaire ?;8;7;8;9;10
3;Quel gaz respirons-nous pour vivre ?;L'oxygène;Le dioxyde de carbone;L'oxygène;L'azote;L'hélium
4;Quel est l'état de l'eau à 0°C ?;Solide (glace);Liquide;Solide (glace);Gazeux;Plasma
5;Quel animal pond des œufs et allaite ses petits ?;L'ornithorynque;Le kangourou;L'ornithorynque;Le dauphin;L'éléphant
6;Quelle est la vitesse de la lumière ?;300 000 km/s;150 000 km/s;300 000 km/s;500 000 km/s;100 000 km/s
7;Quel est le plus grand organe du corps humain ?;La peau;Le foie;La peau;Le cerveau;Les poumons
8;Combien d'os a un adulte humain ?;206;150;206;300;100
9;Quel phénomène provoque les marées ?;L'attraction de la Lune;Le vent;L'attraction de la Lune;La rotation de la Terre;Le Soleil
10;Quel est le symbole chimique de l'or ?;Au;Or;Au;Go;Ag
